id,entity_id,name,category_code,status,founded_at,Current Date,years_old,closed_at,tag_list,country_code,state_code,first_investment_at,investment_rounds,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,acquired_at,acquiring_object_id,price_amount,price_currency_code,valuation_amount,raised_amount,ipo_date,funding_sum_usd,maks_fund
c:13219,13219,Clearwire,mobile,acquired,01/10/03,5677,16,NULL,mobile-community,USA,WA,NULL,NULL,06/05/08,27/02/13,4,5700000000,17/12/12,c:3827,NULL,USD,NULL,600000000,01/03/07,5700000000,9
c:242735,242735,sigmacare,health,operating,01/01/05,5219,14,NULL,,USA,NY,NULL,NULL,29/07/13,29/07/13,1,2600000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2600000000,8
c:5,5,Facebook,social,ipo,01/02/04,5554,15,NULL,"facebook, college, students, profiles, network, online-communities, social-networking",USA,CA,01/12/08,3,01/09/04,21/01/11,11,2425700000,NULL,NULL,NULL,NULL,1.04E+11,18400000000,18/05/12,2425700000,7
c:64365,64365,Carestream,biotech,operating,01/01/07,4489,12,NULL,,USA,NY,NULL,NULL,12/06/13,12/06/13,1,2400000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2400000000,5
c:22568,22568,Solyndra,manufacturing,operating,01/01/05,5219,14,NULL,,USA,CA,NULL,NULL,01/01/06,16/06/11,9,1765504319,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1765504319,7
c:5951,5951,Fisker Automotive,automotive,operating,01/01/08,4124,11,NULL,NULL,USA,CA,NULL,NULL,14/01/08,02/04/12,9,1451000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1451000000,7
c:39799,39799,O3b Networks,enterprise,operating,01/01/08,4124,11,NULL,,GBR,NULL,NULL,NULL,13/11/09,15/10/12,5,1270283000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1270283000,5
c:12,12,Twitter,social,ipo,21/03/06,4775,13,NULL,"text, messaging, social, community, twitter, tweet, twttr, microblog, sms",USA,CA,NULL,NULL,01/07/07,08/09/11,8,1160166511,NULL,NULL,NULL,NULL,18100000000,1820000000,07/11/13,1160166511,7
c:11391,11391,Groupon,web,ipo,11/11/08,3809,10,NULL,"woot, deal-of-the-day, collective-action, the-point, craigslist, tipping-point, discount, retail, deals, daily-deals",USA,IL,17/11/10,3,01/01/07,26/07/11,7,1147288416,NULL,NULL,NULL,NULL,12800000000,NULL,07/11/11,1147288416,7
c:65045,65045,Jd.com,ecommerce,operating,01/01/98,7776,21,NULL,,CHN,NULL,NULL,NULL,13/11/12,19/02/13,2,1100000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1100000000,8
c:7060,7060,Xerox,hardware,ipo,01/01/06,41379,113,NULL,acunetix,USA,AL,NULL,NULL,15/03/12,15/03/12,1,1100000000,NULL,NULL,NULL,NULL,NULL,NULL,01/01/12,1100000000,9
c:183447,183447,Wave Broadband,network_hosting,operating,01/01/02,6315,17,NULL,"broadband, fiber-optic, cable",USA,WA,NULL,NULL,14/11/12,14/11/12,1,1050000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1050000000,8
c:351,351,AOL,web,ipo,24/05/85,12381,34,NULL,"american-on-line, america-online",USA,NY,01/01/96,6,01/12/05,01/12/05,1,1000000000,NULL,NULL,NULL,NULL,NULL,NULL,04/12/09,1000000000,9
c:5229,5229,Blackberry,hardware,ipo,01/01/84,12890,35,NULL,"mobile, wireless, rim",CAN,NULL,01/05/08,2,04/11/13,04/11/13,1,1000000000,NULL,NULL,NULL,NULL,NULL,NULL,01/01/98,1000000000,9
c:28317,28317,Bloom Energy,cleantech,operating,01/01/02,6315,17,NULL,,USA,CA,NULL,NULL,01/01/08,10/05/13,5,980000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,980000000,8
c:21875,21875,SurveyMonkey,software,operating,01/01/99,7411,20,NULL,"surveys, survey-builder, information-gathering",USA,CA,NULL,NULL,20/04/09,16/01/13,5,964999998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,964999998,8
c:8583,8583,LivingSocial,ecommerce,operating,01/01/07,4489,12,NULL,"social-networking, user-reviews, group-buying, social-commerce, daily-deals",USA,DC,NULL,NULL,21/07/08,20/02/13,9,924499965,NULL,NULL,NULL,NULL,NULL,NULL,NULL,924499965,8
c:1812,1812,Zynga,games_video,ipo,01/07/07,4308,12,NULL,"facebookapplications, games, socialnetworking, casualgames, vcmania, facebook",USA,CA,NULL,NULL,01/01/07,18/02/11,8,860213000,NULL,NULL,NULL,NULL,NULL,NULL,19/12/11,860213000,7
c:6314,6314,BrightSource Energy,cleantech,ipo,01/01/04,5585,15,NULL,solar,USA,CA,NULL,NULL,01/11/06,25/07/13,9,845000000,NULL,NULL,NULL,NULL,1000000000,NULL,22/04/11,845000000,8
c:15949,15949,Better Place,cleantech,acquired,29/10/07,4188,11,NULL,,USA,CA,NULL,NULL,01/01/07,02/11/12,6,835750000,12/07/13,c:236946,12000000,USD,NULL,NULL,NULL,835750000,7
